serial_no,stockist_code,stockist_name,month,filename,division_code,product_name,company_product_name,pack,opening_qty,opening_value,purchase_qty,purchase_value,sales_qty,sales_value,closing_qty,closing_value,Remark
1,10000068,Stockist 10000068,2026-02,10000068_20260202_180543_ST-AH-JAN-2026-02022026-1.xlsx,34,DUPHASTON 10MG TAB,DUPHASTON TABLETS 10MG 10'S (F.C.),10TAB,28,,0,,23,15803,5,3092,
2,10000068,Stockist 10000068,2026-02,10000068_20260202_180543_ST-AH-JAN-2026-02022026-1.xlsx,34,ESTRABET GEL,Estrabet Gel 80 gm,80GM,0,,90,,75,65225,15,12402,
3,10000068,Stockist 10000068,2026-02,10000068_20260202_180543_ST-AH-JAN-2026-02022026-1.xlsx,34,ESTRABET 1MG TAB,,28TAB,22,,0,,8,1874,14,3235,
4,10000068,Stockist 10000068,2026-02,10000068_20260202_180543_ST-AH-JAN-2026-02022026-1.xlsx,34,ESTRABET 2MG TAB,Estrabet 2mg tablet 28s USP,28TAB,28,,10,,15,7816,23,10786,
5,10000068,Stockist 10000068,2026-02,10000068_20260202_180543_ST-AH-JAN-2026-02022026-1.xlsx,34,FEMOSTON 1/10,,28,13,,0,,0,0,10,9109,
6,10000068,Stockist 10000068,2026-02,10000068_20260202_180543_ST-AH-JAN-2026-02022026-1.xlsx,34,SOLFE EXTRA TAB,Solfe Extra tablets 15s,15,9,,0,,3,648,6,1167,
7,10000068,Stockist 10000068,2026-02,10000068_20260202_180543_ST-AH-JAN-2026-02022026-1.xlsx,34,SOLFE FCM 50MG INJ,Solfe FCM inj 10 ml,10ML,12,,0,,0,0,12,12720,
8,10000068,Stockist 10000068,2026-02,10000068_20260207_165809_ST-AH-FEB-2026-07022026-1.xlsx,34,DUPHASTON 10MG TAB,DUPHASTON TABLETS 10MG 10'S (F.C.),10TAB,5,,0,,3,2061,0,0,
9,10000068,Stockist 10000068,2026-02,10000068_20260207_165809_ST-AH-FEB-2026-07022026-1.xlsx,34,ESTRABET GEL,Estrabet Gel 80 gm,80GM,15,,0,,1,919,14,11575,
10,10000068,Stockist 10000068,2026-02,10000068_20260207_165809_ST-AH-FEB-2026-07022026-1.xlsx,34,ESTRABET 1MG TAB,,28TAB,14,,0,,2,462,12,2773,
11,10000068,Stockist 10000068,2026-02,10000068_20260207_165809_ST-AH-FEB-2026-07022026-1.xlsx,34,ESTRABET 2MG TAB,Estrabet 2mg tablet 28s USP,28TAB,23,,0,,0,0,33,15476,
12,10000068,Stockist 10000068,2026-02,10000068_20260207_165809_ST-AH-FEB-2026-07022026-1.xlsx,34,FEMOSTON 1/10,,28,10,,0,,0,0,10,9109,
13,10000068,Stockist 10000068,2026-02,10000068_20260207_165809_ST-AH-FEB-2026-07022026-1.xlsx,34,SOLFE EXTRA TAB,Solfe Extra tablets 15s,15,6,,0,,0,0,6,1167,
14,10000068,Stockist 10000068,2026-02,10000068_20260207_165809_ST-AH-FEB-2026-07022026-1.xlsx,34,SOLFE FCM 50MG INJ,Solfe FCM inj 10 ml,10ML,12,,0,,0,0,12,12720,
15,10000068,Stockist 10000068,2026-02,10000068_20260214_182336_ST-AH-FEB-2026-14022026-1.xlsx,34,DUPHASTON 10MG TAB,DUPHASTON TABLETS 10MG 10'S (F.C.),10TAB,5,,0,,3,2061,0,0,
16,10000068,Stockist 10000068,2026-02,10000068_20260214_182336_ST-AH-FEB-2026-14022026-1.xlsx,34,ESTRABET GEL,Estrabet Gel 80 gm,80GM,15,,0,,15,12494,0,0,
17,10000068,Stockist 10000068,2026-02,10000068_20260214_182336_ST-AH-FEB-2026-14022026-1.xlsx,34,ESTRABET 1MG TAB,,28TAB,14,,0,,9,2157,5,1155,
18,10000068,Stockist 10000068,2026-02,10000068_20260214_182336_ST-AH-FEB-2026-14022026-1.xlsx,34,ESTRABET 2MG TAB,Estrabet 2mg tablet 28s USP,28TAB,23,,0,,33,15684,0,0,
19,10000068,Stockist 10000068,2026-02,10000068_20260214_182336_ST-AH-FEB-2026-14022026-1.xlsx,34,FEMOSTON 1/10,,28,10,,0,,1,1012,9,8198,
20,10000068,Stockist 10000068,2026-02,10000068_20260214_182336_ST-AH-FEB-2026-14022026-1.xlsx,34,SOLFE EXTRA TAB,Solfe Extra tablets 15s,15,6,,0,,0,0,6,1167,
21,10000068,Stockist 10000068,2026-02,10000068_20260214_182336_ST-AH-FEB-2026-14022026-1.xlsx,34,SOLFE FCM 50MG INJ,Solfe FCM inj 10 ml,10ML,12,,0,,0,0,12,12720,
22,10000068,Stockist 10000068,2026-02,10000068_20260221_112235_ST-AH-FEB-2026-21022026-1.xlsx,34,DUPHASTON 10MG TAB,DUPHASTON TABLETS 10MG 10'S (F.C.),10TAB,5,,20,,8,5497,15,9276,
23,10000068,Stockist 10000068,2026-02,10000068_20260221_112235_ST-AH-FEB-2026-21022026-1.xlsx,34,ESTRABET GEL,Estrabet Gel 80 gm,80GM,15,,0,,15,12494,0,0,
24,10000068,Stockist 10000068,2026-02,10000068_20260221_112235_ST-AH-FEB-2026-21022026-1.xlsx,34,ESTRABET 1MG TAB,,28TAB,14,,0,,14,3312,0,0,
25,10000068,Stockist 10000068,2026-02,10000068_20260221_112235_ST-AH-FEB-2026-21022026-1.xlsx,34,ESTRABET 2MG TAB,Estrabet 2mg tablet 28s USP,28TAB,23,,0,,33,15684,0,0,
26,10000068,Stockist 10000068,2026-02,10000068_20260221_112235_ST-AH-FEB-2026-21022026-1.xlsx,34,FEMOSTON 1/10,,28,10,,0,,2,2024,8,7287,
27,10000068,Stockist 10000068,2026-02,10000068_20260221_112235_ST-AH-FEB-2026-21022026-1.xlsx,34,SOLFE EXTRA TAB,Solfe Extra tablets 15s,15,6,,0,,0,0,6,1167,
28,10000068,Stockist 10000068,2026-02,10000068_20260221_112235_ST-AH-FEB-2026-21022026-1.xlsx,34,SOLFE FCM 50MG INJ,Solfe FCM inj 10 ml,10ML,12,,0,,0,0,12,12720,
29,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AH-FEB-2026-28022026-1.xlsx,34,DUPHASTON 10MG TAB,DUPHASTON TABLETS 10MG 10'S (F.C.),10TAB,5,,30,,10,6871,23,14223,
30,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AH-FEB-2026-28022026-1.xlsx,34,ESTRABET GEL,Estrabet Gel 80 gm,80GM,15,,150,,86,71289,79,65317,
31,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AH-FEB-2026-28022026-1.xlsx,34,ESTRABET 1MG TAB,,28TAB,14,,30,,14,3312,30,6932,
32,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AH-FEB-2026-28022026-1.xlsx,34,ESTRABET 2MG TAB,Estrabet 2mg tablet 28s USP,28TAB,23,,80,,81,38195,32,15007,
33,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AH-FEB-2026-28022026-1.xlsx,34,FEMOSTON 1/10,,28,10,,0,,4,4049,6,5466,
34,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AH-FEB-2026-28022026-1.xlsx,34,SOLFE EXTRA TAB,Solfe Extra tablets 15s,15,6,,0,,0,0,6,1167,
35,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AH-FEB-2026-28022026-1.xlsx,34,SOLFE FCM 50MG INJ,Solfe FCM inj 10 ml,10ML,12,,0,,0,0,12,12720,
36,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AHPLIL-FEB-2026-28022026-1.xlsx,33,EPTOIN 100MG TAB,EPTOIN 100MG TAB 120S SALES,120,0,,0,,0,0,0,0,
37,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AHPLIL-FEB-2026-28022026-1.xlsx,33,EPTOIN 300 ER,Eptoin 300 ER Tab 30s Pack,30,2,,20,,1,158,21,3030,
38,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AHPLIL-FEB-2026-28022026-1.xlsx,33,EPTOIN INJ,,2ML,65,,0,,0,0,65,566,
39,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AHPLIL-FEB-2026-28022026-1.xlsx,33,EPTOIN 50MG,EPTOIN 50 TABLET 150 S -SALE,150,23,,0,,2,203,21,1928,
40,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AHPLIL-FEB-2026-28022026-1.xlsx,33,EPTOIN SUPSPEN,,200ML,0,,0,,0,0,0,0,
41,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AILIMI-FEB-2026-28022026-1.xlsx,42,DIGENE MINT GEL,DIGENE GEL MINT 170 ML,200ML,146,,120,,90,12256,176,21813,
42,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AILIMI-FEB-2026-28022026-1.xlsx,42,DIGENE MINT TAB,Digene tab Mint 15's,15TAB,486,,630,,521,10941,595,12281,
43,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AILIMI-FEB-2026-28022026-1.xlsx,42,DIGENE MIXED FRUIT GEL,DIGENE GEL MIXED FRUIT 170 ML,200ML,19,,0,,5,661,14,1667,
44,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AILIMI-FEB-2026-28022026-1.xlsx,42,DUPHALAC IP,,450ML,36,,60,,35,15750,61,24705,
45,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AILIMI-FEB-2026-28022026-1.xlsx,42,ELDICET 50MG TAB,,15TAB,18,,10,,6,2550,22,8414,
46,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AILIMI-FEB-2026-28022026-1.xlsx,42,GANATON 50MG TAB,GANATON 10'S,10TAB,100,,150,,165,26255,86,12316,
47,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AILIMI-FEB-2026-28022026-1.xlsx,42,GANATON OD,GANATON OD 10'S,10TAB,14,,10,,7,2523,17,5515,
48,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AILIMI-FEB-2026-28022026-1.xlsx,42,GANATON TOTAL CAP,,10CAP,50,,0,,20,7678,30,10366,
49,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AILIMI-FEB-2026-28022026-1.xlsx,30,COLOSPA 135MG TAB,,15TAB,32,,0,,14,4338,18,5020,
50,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AILIMI-FEB-2026-28022026-1.xlsx,30,COLOSPA RETARD CAP,COLOSPA RETARD CAPSULES SALES 10X15C,15CAP,41,,30,,25,11034,45,19662,
51,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AILIMI-FEB-2026-28022026-1.xlsx,30,COLOSPA X TAB,Colospa X,20TAB,45,,0,,15,4785,30,8613,
52,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AILIMI-FEB-2026-28022026-1.xlsx,30,CREMAPEG SALES KIT,,200ML,2,,0,,0,0,2,477,
53,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AILIMI-FEB-2026-28022026-1.xlsx,30,CREMAPEG SOLUTION,,200ML,0,,0,,0,0,0,0,
54,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AILIMI-FEB-2026-28022026-1.xlsx,30,DIGERAFT XT SUSPEN,Digeraft XT suspension 150 ml,200ML,14,,20,,18,3960,16,3168,
55,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AILIMI-FEB-2026-28022026-1.xlsx,30,EZYBIXY 5MG TAB,Ezybixy 5mg 10s Tabs,10TAB,0,,100,,23,4661,77,14045,
56,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AILIMI-FEB-2026-28022026-1.xlsx,30,FLORACHAMP SACHET ORANGE FLA.,,5GM,61,,140,,81,3625,120,4832,
57,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AILIMI-FEB-2026-28022026-1.xlsx,30,UDILIV 150MG TAB,Udiliv 150 15 Tablets New formulation,15TAB,26,,100,,35,13974,91,32886,
58,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AILIMI-FEB-2026-28022026-1.xlsx,30,UDILIV 300MG TAB,UDILIV 300 IP 15S,15TAB,85,,30,,33,23090,82,57147,
59,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AILIMI-FEB-2026-28022026-1.xlsx,30,UDILIV 450MG TAB,,10TAB,44,,0,,6,3295,38,18779,
60,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AILIMI-FEB-2026-28022026-1.xlsx,30,UDILIV 600MG TAB,UDILIV 600 IP (NEW FORMULA) 10'S,10TAB,28,,0,,0,0,28,17763,
61,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AILIMI-FEB-2026-28022026-1.xlsx,30,UDISTRONG SACHET,UDISTRONG sachets sales,6.5GM,0,,0,,0,0,0,0,
62,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AILIMI-FEB-2026-28022026-1.xlsx,27,ARACHITOL 6L INJ,ARACHITOL INJECTION 6L 6X1ML,6X1ML,56,,40,,36,13954,60,20930,Doubt in qty conversion
63,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AILIMI-FEB-2026-28022026-1.xlsx,27,ARACHITOL NANO 60K IU SF,,4X5ML,106,,180,,171,54402,115,37514,Doubt in qty conversion
64,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AILIMI-FEB-2026-28022026-1.xlsx,27,BRUFEN 200MG TAB,BRUFEN 200 mg 15's,15TAB,66,,80,,52,441,94,729,
65,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AILIMI-FEB-2026-28022026-1.xlsx,27,BRUFEN 400MG TAB,BRUFEN 400 MG 15'S,20,97,,45,,75,1463,69,1211,
66,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AILIMI-FEB-2026-28022026-1.xlsx,27,BRUFEN 600MG TAB,BRUFEN 600 MG 15'S,15TAB,45,,120,,68,2074,97,2907,
67,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AILIMI-FEB-2026-28022026-1.xlsx,27,BRUGEL ACTIFAST GEL,BRUGEL ACTIFAST GEL 30GM,30GM,8,,0,,2,331,6,894,
68,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AILIMI-FEB-2026-28022026-1.xlsx,27,CITRO-SODA,,4GM,283,,675,,489,10695,467,10078,
69,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AILIMI-FEB-2026-28022026-1.xlsx,27,CITRO-SODA UTI,Citro-soda UTI 5g sachets,5GM,0,,0,,0,0,0,0,
70,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AILIMI-FEB-2026-28022026-1.xlsx,27,DUVADILAN 10MG TAB,,50TAB,14,,10,,10,1745,14,2198,
71,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AILIMI-FEB-2026-28022026-1.xlsx,27,DUVADILAN 5MG INJ,,6X2ML,0,,0,,0,0,0,0,
72,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AILIMI-FEB-2026-28022026-1.xlsx,27,DUVADILAN RETARD CAP,DUVADILAN RETARD CAPS 10'S,15,21,,10,,10,2235,21,4223,
73,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AILIMI-FEB-2026-28022026-1.xlsx,27,ZOLFRESH 10MG TAB,ZOLFRESH 10MG 15'S,15TAB,197,,350,,268,27843,279,26087,
74,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AILIMI-FEB-2026-28022026-1.xlsx,27,ZOLFRESH 5MG TAB,ZOLFRESH 5 MG TABLETS - 15S,15TAB,111,,100,,99,7504,112,7641,
75,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AILIMI-FEB-2026-28022026-1.xlsx,31,ABOCAL 500MG TAB,,15TAB,0,,0,,0,0,0,0,
76,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AILIMI-FEB-2026-28022026-1.xlsx,31,COMBINORM CAP,,15CAP,0,,0,,0,0,0,0,
77,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AILIMI-FEB-2026-28022026-1.xlsx,31,COMBINORM PLUS CAP,Combinorm Plus Capsule,NA,7,,0,,0,0,6,2819,
78,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AILIMI-FEB-2026-28022026-1.xlsx,31,DIENONORM 2MG TAB,,10TAB,0,,0,,0,0,0,0,
79,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AILIMI-FEB-2026-28022026-1.xlsx,31,HYTRIN 1MG TAB,,10TAB,16,,40,,25,5239,31,5846,
80,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AILIMI-FEB-2026-28022026-1.xlsx,31,HYTRIN 2MG TAB,,10TAB,0,,20,,0,0,20,5589,
81,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AILIMI-FEB-2026-28022026-1.xlsx,31,LINORMA T3 20MCG TAB,Linorma T3 20 mcg tabs 100s,100TAB,8,,10,,8,9643,10,11571,
82,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AILIMI-FEB-2026-28022026-1.xlsx,31,LINORMA T3 5 MCG TAB,Linorma T3 20 mcg tabs 100s,100,10,,10,,10,9500,11,9900,
83,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AILIMI-FEB-2026-28022026-1.xlsx,31,SURBEX GOLD CAP,SURBEX GOLD CAPSULE 15S,15CAP,4,,10,,4,939,10,2113,
84,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AILIMI-FEB-2026-28022026-1.xlsx,31,THYROCAL D3 TAB,,30TAB,0,,0,,0,0,0,0,
85,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AILIMI-FEB-2026-28022026-1.xlsx,31,THYRONORM (100MCG)TAB,,120TAB,105,,60,,112,14406,57,6598,
86,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AILIMI-FEB-2026-28022026-1.xlsx,31,THYRONORM (112MCG) TAB,,120TAB,16,,12,,7,1134,21,3063,
87,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AILIMI-FEB-2026-28022026-1.xlsx,31,THYRONORM (12.5 MCG) TAB,,120TAB,25,,24,,21,3036,28,3643,
88,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AILIMI-FEB-2026-28022026-1.xlsx,31,THYRONORM (125MCG) TAB,,120TAB,30,,60,,45,7114,45,6685,
89,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AILIMI-FEB-2026-28022026-1.xlsx,31,THYRONORM (137MCG) TAB,,120TAB,10,,0,,1,212,9,1717,
90,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AILIMI-FEB-2026-28022026-1.xlsx,31,THYRONORM (150MCG) TAB,,120TAB,19,,12,,17,2823,14,2092,
91,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AILIMI-FEB-2026-28022026-1.xlsx,31,THYRONORM (200MCG) TAB,,120TAB,16,,0,,9,1571,7,1207,
92,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AILIMI-FEB-2026-28022026-1.xlsx,31,THYRONORM (25MCG) TAB,,120TAB,141,,48,,106,14889,83,10552,
93,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AILIMI-FEB-2026-28022026-1.xlsx,31,THYRONORM (37.5MCG) TAB,,120TAB,15,,24,,15,2147,24,3091,
94,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AILIMI-FEB-2026-28022026-1.xlsx,31,THYRONORM (50MCG) TAB,,120TAB,106,,120,,158,15813,68,6156,
95,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AILIMI-FEB-2026-28022026-1.xlsx,31,THYRONORM (62.5MCG) TAB,,120TAB,10,,12,,6,943,16,2264,
96,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AILIMI-FEB-2026-28022026-1.xlsx,31,THYRONORM (75MCG) TAB,,120TAB,71,,72,,88,12335,55,6938,
97,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AILIMI-FEB-2026-28022026-1.xlsx,31,THYRONORM (88MCG) TAB,,120TAB,21,,24,,16,2576,29,4201,
98,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AILIMI-FEB-2026-28022026-1.xlsx,31,THYROWEL PLUS TAB,Thyrowel Plus tabs 15s,15TAB,23,,0,,10,2461,13,3311,
99,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AILIMI-FEB-2026-28022026-1.xlsx,33,EPTOIN 100MG TAB,EPTOIN 100MG TAB 120S SALES,120TAB,27,,36,,32,5498,31,4794,
100,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AILIMI-FEB-2026-28022026-1.xlsx,33,INDERAL 10MG,INDERAL 10 TAB 15s SALES Blister Pack,15,40,,120,,67,1069,93,1335,
101,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AILIMI-FEB-2026-28022026-1.xlsx,33,INDERAL 20MG,INDERAL 20 TAB 15s NEW SALES,15,35,,40,,19,741,56,1966,
102,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AILIMI-FEB-2026-28022026-1.xlsx,33,INDERAL 40MG,INDERAL 40 TAB 15s SALES Blister Pack,15,88,,80,,106,4164,62,2192,
103,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AILIMI-FEB-2026-28022026-1.xlsx,33,INDERAL LA 20MG TAB,Inderal LA 20mg 15's,15TAB,117,,0,,58,2262,59,2071,
104,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AILIMI-FEB-2026-28022026-1.xlsx,33,INDERAL LA 40MG,Inderal LA 40mg 15's,15,40,,0,,27,1061,13,460,
105,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AILIMI-FEB-2026-28022026-1.xlsx,33,PROTHIADEN 25MG,PROTHIADEN 25 15S,15,35,,30,,20,3076,45,6228,
106,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AILIMI-FEB-2026-28022026-1.xlsx,33,PROTHIADEN 50MG,PROTHIADEN 50 15S,15,16,,0,,3,909,18,4906,
107,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AILIMI-FEB-2026-28022026-1.xlsx,33,PROTHIADEN 75MG,PROTHIADEN 75 15S,15,18,,0,,0,0,18,5193,
108,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AILIMI-FEB-2026-28022026-1.xlsx,33,PROTHIADEN M,PROTHIADEN M 50 15S,15,0,,0,,0,0,0,0,
109,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AILIMI-FEB-2026-28022026-1.xlsx,33,PROTHIADEN NEU CAP,,10CAP,0,,0,,0,0,0,0,
110,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AILIMI-FEB-2026-28022026-1.xlsx,33,VERTIN 16MG TAB,VERTIN TABLETS 16MG 15S  NEW,15TAB,49,,160,,111,34331,98,27279,
111,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AILIMI-FEB-2026-28022026-1.xlsx,33,VERTIN 24MG TAB,VERTIN TABLETS 24MG 15S  NEW,15TAB,23,,20,,17,6865,26,10394,
112,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AILIMI-FEB-2026-28022026-1.xlsx,33,VERTIN 8MG TAB,VERTIN TABLETS 8MG  15S   NEW,15TAB,117,,150,,161,27030,106,16017,
113,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AILIMI-FEB-2026-28022026-1.xlsx,33,VERTIN DT 16MG,,15,0,,10,,0,0,10,2531,
114,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AILIMI-FEB-2026-28022026-1.xlsx,33,VERTIN DT 24MG,,15,10,,0,,0,0,10,3634,
115,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AILIMI-FEB-2026-28022026-1.xlsx,33,VERTIN DT 8MG,,15,10,,0,,0,0,10,1374,
116,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AILIMI-FEB-2026-28022026-1.xlsx,33,VERTIN OD 24,Vertin OD 24mg tabs -15s,15,19,,0,,17,8124,2,860,
117,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AILIMI-FEB-2026-28022026-1.xlsx,33,VERTIN OD 48,Vertin OD 48mg tabs -15s,15,25,,0,,3,2198,22,14505,
118,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AILIMI-FEB-2026-28022026-1.xlsx,33,ZOLFRESH ODT 10MG TAB,,15TAB,0,,0,,0,0,0,0,
119,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AILIMI-FEB-2026-28022026-1.xlsx,35,CREMA-ANO CREAM,Crema-Ano 20gm,20GM,2,,10,,1,132,11,1310,
120,10000068,Stockist 10000068,2026-02,10000068_20260228_190503_ST-AILIMI-FEB-2026-28022026-1.xlsx,35,CREMAFFIN MF,,450ML,11,,16,,15,4384,12,3157,
